year,week,mean_migrants
2006,3,2288.3333333333335
2006,4,11119.57142857143
2006,5,17711.85714285714
2006,6,21947.571428571428
2006,7,34653.857142857145
2006,8,61076.857142857145
2006,9,199595.14285714287
2006,10,80762.85714285714
2006,11,44070.42857142857
2006,12,48382.71428571428
2006,13,84433.85714285714
2006,14,48110
2006,15,44054.42857142857
2006,16,32423.285714285714
2006,17,7256.285714285715
2006,18,11724.285714285714
2006,19,6078.714285714285
2006,20,19984
2006,21,45663.142857142855
2006,22,43138.142857142855
2006,23,36870.28571428572
2006,24,26978.285714285714
2006,25,14992
2006,26,9681.142857142857
2006,27,6158.142857142857
2006,28,4473.285714285715
2006,29,3036.285714285714
2006,30,4075.8571428571427
2006,31,1736
