Name, Node ID, Area (m^2)
Browns Sl Barrow Ch, 25665, 7
Browns Sl Barrow Ch, 22962, 24
Browns Sl Barrow Ch, 19479, 13
Browns Sl Barrow Ch, 7607, 7
Browns Sl Barrow Ch, 18542, 14
Browns Sl Barrow Ch, 17294, 13
Browns Sl Barrow Ch, 16936, 11
Browns Sl Barrow Ch, 21602, 9
Browns Sl Barrow Ch, 17649, 12
Browns Sl Barrow Ch, 23953, 12
Browns Sl Barrow Ch, 21963, 4
Browns Sl Barrow Ch, 5500, 3
Browns Sl Barrow Ch, 25721, 5
Browns Sl Barrow Ch, 7919, 6
Browns Sl Barrow Ch, 8983, 10
Browns Sl Barrow Ch, 9373, 10
Browns Sl Barrow Ch, 10029, 10
Browns Sl Barrow Ch, 19075, 8
Browns Sl Barrow Ch, 13923, 11
Browns Sl Barrow Ch, 21571, 9
Browns Sl Barrow Ch, 24335, 3
Browns Sl Barrow Ch, 17636, 4
Browns Sl Barrow Ch, 22581, 13
Browns Sl Barrow Ch, 22203, 15
Browns Sl Barrow Ch, 7042, 6
Browns Sl Barrow Ch, 16562, 6
Browns Sl Barrow Ch, 17754, 8
Browns Sl Barrow Ch, 6228, 1
Browns Sl Barrow Ch, 21362, 5
Browns Sl Diked Side, 15593, 222
Browns Sl Diked Side, 15593, 222
Ika Lower, 15534, 76
Ika Lower, 15534, 76
Ika Lower, 11588, 45
Ika Lower, 15538, 25
Ika Lower, 15535, 18
Ika Lower, 19715, 16
Ika Lower, 10204, 12
Ika Lower, 22936, 8
Ika Lower, 25390, 24
Ika Lower, 11589, 4
Tom Moore, 9833, 33
Tom Moore, 9833, 33
Tom Moore, 10849, 28
Tom Moore, 13212, 27
Tom Moore, 23884, 28
Tom Moore, 20751, 6
Tom Moore, 6426, 1
Tom Moore, 23537, 22
Tom Moore, 16907, 12
Tom Moore, 11750, 16
Tom Moore, 16879, 15
Tom Moore, 12935, 8
Tom Moore, 16874, 7
Tom Moore, 22815, 13
Tom Moore, 6428, 6
Tom Moore, 11405, 8
Tom Moore, 16510, 11
Tom Moore, 22884, 7
Tom Moore, 16876, 7
Tom Moore, 7384, 12
Tom Moore, 13821, 38
Tom Moore, 14497, 24
Tom Moore, 21881, 18
Tom Moore, 12942, 11
Tom Moore, 16882, 5
Tom Moore, 25594, 18
Tom Moore, 13775, 14
Tom Moore, 5895, 8
Tom Moore, 12957, 23
Tom Moore, 12937, 7
Tom Moore, 16880, 5
Tom Moore, 25607, 5
Tom Moore, 11503, 7
Tom Moore, 11424, 7
Tom Moore, 16890, 6
Tom Moore, 24626, 5
Tom Moore, 11748, 2
Tom Moore, 5894, 2
Tom Moore, 16885, 4
Tom Moore, 17021, 5
Ika Upper, 1013, 27112
Ika Upper, 1013, 27112
Ika Upper, 4481, 115
Ika Upper, 12513, 65
Ika Upper, 22435, 60
Ika Upper, 21831, 70
Ika Upper, 7010, 24
Ika Upper, 23073, 56
Ika Upper, 14225, 41
Ika Upper, 23023, 54
Ika Upper, 22584, 34
Ika Upper, 25358, 40
Ika Upper, 6181, 16
Ika Upper, 15662, 15
Ika Upper, 5387, 3
Ika Upper, 23070, 7
Ika Upper, 23755, 24
Ika Upper, 23076, 13
Ika Upper, 6180, 8
Ika Upper, 23788, 9
Ika Upper, 23532, 4
Ika Upper, 25625, 3
Ika Upper, 24810, 15
Ika Upper, 6148, 9
Ika Upper, 16281, 16
Ika Upper, 6584, 6
Ika Upper, 25583, 16
Ika Upper, 25621, 9
Ika Upper, 5386, 3
Ika Upper, 15852, 5
Ika Upper, 12865, 9
Ika Upper, 7241, 5
Ika Upper, 11370, 14
Ika Upper, 19119, 12
Ika Upper, 21947, 8
Ika Upper, 7912, 11
Ika Upper, 9004, 20
Ika Upper, 19649, 14
Ika Upper, 10094, 15
Ika Upper, 25025, 14
Ika Upper, 16223, 12
Ika Upper, 19801, 6
Ika Upper, 13513, 25
Ika Upper, 13850, 47
Ika Upper, 13429, 53
Ika Upper, 18490, 13
Ika Upper, 22718, 10
Ika Upper, 24811, 8
Ika Upper, 7473, 1
Ika Upper, 17132, 42
Ika Upper, 23081, 24
Ika Upper, 16419, 31
Ika Upper, 11928, 19
Ika Upper, 23599, 16
Ika Upper, 23125, 6
Ika Upper, 23139, 14
Ika Upper, 12390, 13
Ika Upper, 5385, 5
Ika Upper, 23969, 8
Ika Upper, 11360, 12
Ika Upper, 23006, 6
Ika Upper, 18001, 37
Ika Upper, 23059, 15
Ika Upper, 24113, 18
Ika Upper, 13525, 30
Ika Upper, 13057, 24
Ika Upper, 18365, 36
Ika Upper, 17899, 23
Ika Upper, 22665, 12
Ika Upper, 4952, 2
Ika Upper, 24442, 13
Ika Upper, 21709, 14
Ika Upper, 10539, 12
Ika Upper, 13779, 12
Ika Upper, 9164, 5
Ika Upper, 18894, 11
Ika Upper, 13583, 12
Ika Upper, 13259, 3
Ika Upper, 23110, 8
Cattail Saltmarsh, 1536, 563
Cattail Saltmarsh, 1536, 563
Cattail Saltmarsh, 25096, 42
Cattail Saltmarsh, 18057, 33
Cattail Saltmarsh, 10505, 30
Cattail Saltmarsh, 10807, 26
Cattail Saltmarsh, 21167, 13
Cattail Saltmarsh, 18450, 13
Cattail Saltmarsh, 20904, 5
Cattail Saltmarsh, 25193, 22
Cattail Saltmarsh, 20407, 18
Cattail Saltmarsh, 10504, 20
Cattail Saltmarsh, 9635, 9
Cattail Saltmarsh, 9151, 8
Cattail Saltmarsh, 8846, 10
Cattail Saltmarsh, 8668, 3
DW Reference E Blind, 19658, 120
DW Reference E Blind, 19658, 120
DW Reference E Blind, 23976, 91
DW Reference E Blind, 16665, 54
DW Reference E Blind, 15977, 16
DW Reference E Blind, 9800, 17
DW Reference E Blind, 22299, 18
DW Reference E Blind, 13185, 11
DW Reference E Blind, 19412, 7
DW Reference E Blind, 23002, 15
DW Reference E Blind, 21727, 10
DW Reference E Blind, 7177, 2
DW Reference E Blind, 15985, 28
DW Reference E Blind, 14817, 37
DW Reference E Blind, 15981, 87
DW Reference E Blind, 12628, 88
DW Reference E Blind, 8018, 46
DW Reference E Blind, 8577, 85
DW Reference E Blind, 18941, 70
DW Reference E Blind, 8910, 48
DW Reference E Blind, 9245, 46
DW Reference E Blind, 17875, 38
DW Reference E Blind, 10776, 47
