day,month,year,abundance
22,1,2010,360
23,1,2010,656
24,1,2010,853
25,1,2010,588
26,1,2010,344
27,1,2010,285
28,1,2010,294
29,1,2010,135
30,1,2010,114
31,1,2010,21
32,2,2010,67
33,2,2010,211
34,2,2010,1088
35,2,2010,1947
36,2,2010,1029
37,2,2010,1052
38,2,2010,749
39,2,2010,2082
40,2,2010,2813
41,2,2010,2613
42,2,2010,3832
43,2,2010,844
44,2,2010,2161
45,2,2010,3180
46,2,2010,10601
47,2,2010,3781
48,2,2010,11617
49,2,2010,2751
50,2,2010,5677
51,2,2010,5915
52,2,2010,8991
53,2,2010,8568
54,2,2010,5807
55,2,2010,3648
56,2,2010,1898
57,2,2010,1805
58,2,2010,1475
59,2,2010,807
60,3,2010,1198
61,3,2010,609
62,3,2010,1924
63,3,2010,4707
64,3,2010,22313
65,3,2010,20982
66,3,2010,21002
67,3,2010,27254
68,3,2010,13867
69,3,2010,17624
70,3,2010,9328
71,3,2010,7704
72,3,2010,27455
73,3,2010,16726
74,3,2010,27635
75,3,2010,5122
76,3,2010,5908
77,3,2010,17284
78,3,2010,20275
79,3,2010,11674
80,3,2010,7223
81,3,2010,10553
82,3,2010,34656
83,3,2010,25643
84,3,2010,7923
85,3,2010,8806
86,3,2010,17491
87,3,2010,5701
88,3,2010,5993
89,3,2010,24982
90,3,2010,22694
91,4,2010,17515
92,4,2010,8358
93,4,2010,11105
94,4,2010,12455
95,4,2010,7353
96,4,2010,13460
97,4,2010,9117
98,4,2010,12897
99,4,2010,14619
100,4,2010,12008
101,4,2010,3237
102,4,2010,2831
103,4,2010,4172
104,4,2010,6187
105,4,2010,5042
106,4,2010,3423
107,4,2010,2097
108,4,2010,7482
109,4,2010,11755
110,4,2010,7057
111,4,2010,13422
112,4,2010,46498
113,4,2010,7200
114,4,2010,3810
115,4,2010,5369
116,4,2010,3802
117,4,2010,5816
118,4,2010,8608
119,4,2010,4121
120,4,2010,3052
121,5,2010,3188
122,5,2010,2564
123,5,2010,9794
124,5,2010,18887
125,5,2010,19517
126,5,2010,4332
127,5,2010,3159
128,5,2010,1616
129,5,2010,1498
130,5,2010,1881
131,5,2010,2616
132,5,2010,4775
133,5,2010,3955
134,5,2010,7612
135,5,2010,13383
136,5,2010,8579
137,5,2010,31784
138,5,2010,71627
139,5,2010,52547
140,5,2010,39528
141,5,2010,27424
142,5,2010,25310
143,5,2010,4174
144,5,2010,7875
145,5,2010,4097
146,5,2010,4232
147,5,2010,11291
148,5,2010,11709
149,5,2010,26131
150,5,2010,22331
151,5,2010,19914
152,6,2010,17852
153,6,2010,32450
154,6,2010,42671
155,6,2010,50433
156,6,2010,42153
157,6,2010,31395
158,6,2010,21373
159,6,2010,10221
160,6,2010,4813
161,6,2010,5448
162,6,2010,4305
163,6,2010,5923
164,6,2010,3021
165,6,2010,1968
166,6,2010,1658
167,6,2010,1060
168,6,2010,1477
169,6,2010,1247
170,6,2010,987
171,6,2010,1623
172,6,2010,1590
173,6,2010,2005
174,6,2010,1437
175,6,2010,1059
176,6,2010,1539
177,6,2010,1559
178,6,2010,946
179,6,2010,546
180,6,2010,558
181,6,2010,497
182,7,2010,436
183,7,2010,743
184,7,2010,626
185,7,2010,597
186,7,2010,592
187,7,2010,615
188,7,2010,482
189,7,2010,403
190,7,2010,397
191,7,2010,595
192,7,2010,790
193,7,2010,602
194,7,2010,602
195,7,2010,444
196,7,2010,580
197,7,2010,353
198,7,2010,398
199,7,2010,398
200,7,2010,397
201,7,2010,474
202,7,2010,450
203,7,2010,185
