X,Y,id
544562.5864,5343493.154,1
544558.8399,5343507.678,2
544556.4892,5343522.483,3
544554.7944,5343537.386,4
544553.6932,5343550.665,5
544552.4535,5343565.613,6
544548.1143,5343579.853,7
544542.5081,5343593.763,8
544538.5429,5343600.833,9
544543.2672,5343601.904,10
544556.6775,5343604.766,11
544530.76,5343613.638,12
544522.2097,5343625.962,13
544513.5196,5343638.188,14
544504.6894,5343650.313,15
544495.745,5343662.354,16
544488.497,5343675.437,17
544481.946,5343688.914,18
544466.371,5343694.625,19
544480.955,5343697.145,20
544453.2818,5343701.51,21
544441.2019,5343710.402,22
544480.3035,5343711.715,23
544429.2337,5343719.44,24
544562.8916,5343719.563,25
544479.7031,5343726.651,26
544417.3217,5343728.557,27
544405.4098,5343737.673,28
544481.3366,5343741.562,29
544393.1763,5343746.35,30
544381.1403,5343755.296,31
544483.4,5343756.411,32
544369.2567,5343764.449,33
544410.7865,5343764.906,34
544486.4305,5343771.101,35
544386.7207,5343771.975,36
544436.0127,5343771.981,37
544373.7904,5343773.464,38
544357.4267,5343773.669,39
544404.7003,5343776.376,40
544397.6283,5343778.485,41
544369.224,5343780.782,42
544402.2,5343781.094,43
544561.9511,5343781.455,44
544425.6411,5343782.043,45
544560.9356,5343782.278,46
544345.8792,5343783.243,47
544489.5747,5343785.758,48
544414.3974,5343789.282,49
544416.3899,5343791.242,50
544415.5085,5343791.454,51
544334.1528,5343792.595,52
544362.8521,5343793.016,53
544365.5372,5343796.002,54
544557.399,5343796.846,55
544351.1777,5343798.009,56
544493.0499,5343800.35,57
544424.3483,5343801.133,58
544322.3491,5343801.849,59
544445.4337,5343803.708,60
544494.0997,5343804.93,61
544485.7705,5343806.396,62
544346.4006,5343806.833,63
544345.7366,5343807.008,64
544370.7282,5343808.926,65
544548.8637,5343808.953,66
544435.7576,5343809.681,67
544309.7239,5343809.948,68
544400.6773,5343811.047,69
544332.6785,5343813.872,70
544448.9935,5343817.033,71
544481.42,5343817.436,72
544381.8872,5343817.82,73
544297.0987,5343818.048,74
544355.3077,5343818.165,75
544497.0055,5343819.434,76
544540.7901,5343821.595,77
544471.7988,5343823.65,78
544331.7214,5343824.797,79
544403.5485,5343825.089,80
544284.4845,5343826.14,81
544464.0418,5343828.902,82
544451.9581,5343829.353,83
544383.6004,5343831.13,84
544356.3904,5343831.576,85
544531.087,5343832.905,86
544497.0894,5343834.426,87
544272.0011,5343834.454,88
544407.6143,5343834.928,89
544457.0914,5343837.101,90
544337.6125,5343837.205,91
544329.044,5343837.397,92
544518.4964,5343840.503,93
544259.688,5343843.02,94
544402.7286,5343846.007,95
544357.8159,5343846.401,96
544505.2943,5343847.223,97
544495.2126,5343849.169,98
544342.3602,5343849.836,99
544283.7613,5343851.489,100
544333.3901,5343851.521,101
544247.428,5343851.662,102
544297.5723,5343853.212,103
544392.9384,5343856.022,104
544494.0184,5343857.094,105
544493.0123,5343857.181,106
544356.3909,5343859.582,107
544352.7299,5343860.087,108
544235.1891,5343860.334,109
544357.0236,5343862.279,110
